sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
aws:cloudwatch:kinesis:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS Kinesis CloudWatch metrics,"CloudWatch metrics for Kinesis Data Streams and Firehose: incoming records and bytes, outgoing records and bytes, iterator age, write/read throttle counts.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:lambda:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS Lambda CloudWatch metrics,"CloudWatch metrics for Lambda functions: invocation count, error count, duration, throttles, concurrent executions, dead-letter errors.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:rds:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS RDS CloudWatch metrics,"CloudWatch metrics for RDS database instances and clusters: CPU utilization, database connections, read/write IOPS and latency, replica lag, freeable memory, swap usage.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:s3:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS S3 CloudWatch metrics,"CloudWatch metrics for S3 buckets (requires request metrics enabled): request counts by operation, bytes downloaded/uploaded, 4xx/5xx error counts, first-byte and total request latency.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:sns:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS SNS CloudWatch metrics,"CloudWatch metrics for SNS topics: published messages, delivery successes/failures by protocol (HTTP/SQS/Lambda/SMS/email), message size, filter evaluations.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatch:sqs:metrics,operational,,none,Performance.Performance,Amazon Web Services,AWS SQS CloudWatch metrics,"CloudWatch metrics for SQS queues: visible/in-flight/delayed message counts, approximate age of oldest message, sent/received/deleted rates, empty receives.",N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatchlogs:guardduty,security,CTD,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Amazon Web Services,AWS GuardDuty logs via CloudWatch,GuardDuty findings exported through CloudWatch Logs - an alternate delivery path to aws:guardduty for environments that aggregate findings into a CloudWatch log group.,N,,AI Analysis,3/25/2026,human_curated
aws:cloudwatchlogs:vpcflow,security,CTD,high,Network_Traffic.All_Traffic,Amazon Web Services,AWS VPC Flow Logs,"VPC Flow Logs delivered via CloudWatch Logs - per-interface records of accepted/rejected IP traffic: source/destination IP and port, protocol, packets, bytes, TCP flags, action.",N,,AI Analysis,3/25/2026,human_curated
aws:config:compliance,security,CSPM,high,"Vulnerabilities.Vulnerabilities, Change.All_Changes",Amazon Web Services,AWS Config compliance findings,"AWS Config compliance evaluations against configured rules: resource compliance state changes (COMPLIANT/NON_COMPLIANT), evaluation details, drift detection.",N,,MDI Reference,4/3/2026,human_curated
aws:description,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS resource descriptions,"AWS resource description snapshots collected by the Splunk Add-on for AWS: EC2 instances and addresses, IAM users/roles/policies, load balancers, security groups, key pairs, RDS clusters, and many more resource types.",N,,AI Analysis,3/25/2026,human_curated
aws:eks:audit,security,CSPM,high,"Change.All_Changes, Authentication.Authentication",Amazon Web Services,AWS EKS Kubernetes audit logs,"Amazon EKS Kubernetes API server audit logs: API request URI and verb, authenticated identity, response code, and impersonation chain. Used to detect privileged access and policy violations.",N,,MDI Reference,4/3/2026,human_curated
aws:elb:accesslogs,"security,operational",,med,"Web.Web, Network_Sessions.All_Sessions",Amazon Web Services,AWS Classic ELB access logs,"Classic Elastic Load Balancer access logs delivered to S3: client IP and port, request line, backend instance, response code, request/response/backend processing times.",N,,MDI Reference,4/3/2026,human_curated
aws:firehose:cloudwatchevents:unknown:no_processor,"security,operational",,med,,Amazon Web Services,AWS CloudWatch Events,CloudWatch Events delivered via Kinesis Data Firehose where the Splunk modular input could not classify the payload to a more specific sourcetype. Usually indicates a missing or misconfigured event processor mapping.,N,,AI Analysis,3/25/2026,human_curated
aws:guardduty,security,CTD,high,Intrusion_Detection.IDS_Attacks,Amazon Web Services,AWS GuardDuty threat findings,"Amazon GuardDuty threat findings derived from VPC Flow Logs, CloudTrail, and DNS logs. Finding types include reconnaissance, instance compromise, credential exfiltration, crypto-mining, and policy violations.",N,,AI Analysis,3/25/2026,human_curated
aws:inspector:finding,security,VMS,high,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS Inspector vulnerability findings,"Amazon Inspector vulnerability and reachability findings across EC2 instances, ECR container images, and Lambda functions. Each finding includes severity, CVE, affected package, and remediation guidance.",N,,AI Analysis,3/25/2026,human_curated
aws:iot:core,"security,operational",,med,Change.All_Changes,Amazon Web Services,AWS IoT Core message logs,"AWS IoT Core MQTT/HTTPS message logs and lifecycle events: device connect/disconnect, publishes, subscribes, rule engine invocations, and authorization decisions.",N,,MDI Reference,4/3/2026,human_curated
aws:macie:finding,security,DLP,high,"DLP.All_Incidents, Alerts.Alerts",Amazon Web Services,AWS Macie sensitive data findings,"Amazon Macie findings from S3 data scans: sensitive-data findings (PII, financial info, credentials) and policy findings (public buckets, encryption disabled, replication to untrusted accounts).",N,,MDI Reference,4/3/2026,human_curated
aws:network-firewall:alert,security,IDS,high,"Intrusion_Detection.IDS_Attacks, Network_Traffic.All_Traffic",Amazon Web Services,AWS Network Firewall alert events,"AWS Network Firewall alert events generated by Suricata-compatible stateful rules: alert message, signature ID, source/destination addresses, application protocol.",N,,AI Analysis,5/27/2026,human_curated
aws:network-firewall:flow,security,FW,high,Network_Traffic.All_Traffic,Amazon Web Services,AWS Network Firewall flow logs,"AWS Network Firewall flow logs - per-connection records of traffic inspected by the firewall: 5-tuple, byte and packet counts, action (PASS/DROP/ALERT).",N,,AI Analysis,5/27/2026,human_curated
aws:rds:audit,security,,med,"Change.Audit_Logs, Databases.Database_Audit",Amazon Web Services,AWS RDS database audit logs,"RDS database audit log - SQL statements executed against the engine when an audit plugin (MariaDB Audit, pgAudit, SQL Server Audit) is enabled. Captures connection, DDL, and DML activity.",N,,AI Analysis,3/25/2026,human_curated
aws:rds:error,operational,,low,Databases.Database_Errors,Amazon Web Services,AWS RDS database error logs,"RDS engine error log: server-level errors, restart events, replication problems, deadlocks, and recovery messages. Distinct from app:rds:error which is a forwarded engine log within the OS log group.",N,,AI Analysis,3/25/2026,human_curated
aws:route53:queries,security,CTD,high,Network_Resolution.DNS,Amazon Web Services,AWS Route53 DNS query logs,"Route 53 DNS query logs delivered to CloudWatch Logs: query name and type, resolver IP, edge location, response code. Used for DNS-based threat hunting and resolver visibility.",N,,AI Analysis,3/25/2026,human_curated
aws:s3:accesslogs,security,CSPM,med,Data_Access.All_Data_Access_Logs,Amazon Web Services,AWS S3 server access logs,"S3 server access logs: requester IAM identity or anonymous, bucket and key, operation (REST.GET.OBJECT/PUT.OBJECT/etc.), HTTP status, bytes transferred, request and turnaround time.",N,,MDI Reference,4/3/2026,human_curated
aws:s3:ssm:application,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - installed applications and versions on managed instances (EC2, edge, on-prem).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:awscomponent,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - AWS-provided components installed on managed instances (CloudWatch agent, SSM agent, EC2Launch, etc.).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:billinginfo,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - billing-related metadata captured on managed instances (license type, billing product codes).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:complianceitem,security,VMS,med,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS SSM compliance data,"AWS Systems Manager compliance data - per-item compliance results (patch, association, or custom compliance type) for each managed instance.",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:compliancesummary,security,VMS,med,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS SSM compliance data,AWS Systems Manager compliance data - instance-level compliance summary aggregating all compliance types into compliant/non-compliant counts.,N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:inspectorcve,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory exposed by Amazon Inspector - CVE list for installed packages on each managed instance.,N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:inspectormetricdatapackagescanner,security,VMS,med,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS SSM compliance data,"AWS Systems Manager inventory exposed by Amazon Inspector - metric data emitted by the package-scanner subsystem (scan duration, packages evaluated).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:inspectorthirdpartypackage,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory exposed by Amazon Inspector - third-party package inventory (non-OS packages) on managed instances.,N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:instancedetailedinformation,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - detailed OS and hardware information for each managed instance (kernel version, CPU model, instance type).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:instanceinformation,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - summary information for each managed instance (platform, ping status, agent version, association status).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:network,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - network configuration of each managed instance (interfaces, IPv4/IPv6 addresses, MAC addresses, default gateways).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:patchsummary,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - patching status summary per instance (installed/missing/failed patch counts, last operation time).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:resourcegroup,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory data - resource group memberships for each managed instance.,N,,AI Analysis,5/27/2026,human_curated
aws:s3:ssm:scans,security,VMS,med,Vulnerabilities.Vulnerabilities,Amazon Web Services,AWS SSM compliance data,AWS Systems Manager compliance data - compliance scan results for installed software (patch and configuration compliance).,N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:service,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data - installed Windows services on managed instances (name, status, start type).",N,,AI Analysis,3/25/2026,human_curated
aws:s3:ssm:tag,operational,,low,Compute_Inventory.All_Inventory,Amazon Web Services,AWS SSM inventory data,AWS Systems Manager inventory data - tag metadata applied to each managed instance.,N,,AI Analysis,3/25/2026,human_curated
aws:s3-objects:unknown:no_processor,operational,,low,,Amazon Web Services,AWS S3 object data,S3 object events delivered via Kinesis Data Firehose where the Splunk modular input could not classify the payload to a more specific sourcetype. Usually indicates a missing or misconfigured event processor mapping.,N,,AI Analysis,3/25/2026,human_curated
aws:securityhub:finding,security,CSPM,high,"Alerts.Alerts, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS Security Hub findings,"AWS Security Hub aggregated findings in ASFF (AWS Security Finding Format) from GuardDuty, Inspector, Macie, IAM Access Analyzer, AWS Config, and integrated partner tools.",N,,MDI Reference,4/3/2026,human_curated
aws:ssm:compliance:summary,security,CSPM,med,"Change.All_Changes, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS SSM compliance summary data,AWS Systems Manager compliance summary delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged aws:s3:ssm:compliancesummary path).,N,,AI Analysis,3/25/2026,human_curated
aws:ssm:complianceitem,security,CSPM,med,"Change.All_Changes, Vulnerabilities.Vulnerabilities",Amazon Web Services,AWS SSM compliance item details,AWS Systems Manager per-item compliance delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged aws:s3:ssm:complianceitem path).,N,,AI Analysis,3/25/2026,human_curated
aws:ssm:instancedetailedinformation,operational,,low,Inventory.Inventory,Amazon Web Services,AWS SSM detailed instance info,AWS Systems Manager detailed instance information delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged variant).,N,,AI Analysis,3/25/2026,human_curated
aws:ssm:instanceinformation,operational,,low,Inventory.Inventory,Amazon Web Services,AWS SSM instance information,AWS Systems Manager instance summary information delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged variant).,N,,AI Analysis,3/25/2026,human_curated
aws:ssm:inventory,operational,,low,Inventory.Inventory,Amazon Web Services,AWS SSM inventory data,"AWS Systems Manager inventory data delivered via the Splunk Add-on for AWS modular input - aggregated view of installed applications, services, and network configuration.",N,,AI Analysis,3/25/2026,human_curated
aws:ssm:patchsummary,operational,,low,Updates.All_Updates,Amazon Web Services,AWS SSM patch summary data,AWS Systems Manager patch summary delivered via the Splunk Add-on for AWS modular input (vs. the S3-staged variant).,N,,AI Analysis,3/25/2026,human_curated
aws:waf,security,WAF,high,"Web.Web, Intrusion_Detection.IDS_Attacks",Amazon Web Services,AWS WAF web ACL logs,"AWS WAF (web application firewall) web ACL logs: request URI, headers, source IP, action (ALLOW/BLOCK/COUNT/CAPTCHA), and matching rule. Used for WAF tuning and web-attack analysis.",N,,MDI Reference,4/3/2026,human_curated
cfn-init,operational,,low,,Amazon Web Services,AWS CloudFormation init logs,"AWS CloudFormation cfn-init helper script log written during EC2 instance bootstrapping - packages installed, services started, files created, commands run from instance metadata.",N,,AI Analysis,3/25/2026,human_curated
cfn-wire,operational,,low,,Amazon Web Services,AWS CloudFormation wire logs,"AWS CloudFormation cfn-wire log - protocol-level HTTP traffic between CloudFormation helper scripts (cfn-init, cfn-hup) and the CloudFormation service. Useful for diagnosing bootstrap failures.",N,,AI Analysis,3/25/2026,human_curated
ssm:document,operational,,low,Change.All_Changes,Amazon Web Services,AWS SSM document execution events,"AWS Systems Manager document execution events - records of Run Command, State Manager association, and Automation document invocations against managed instances.",N,,AI Analysis,5/27/2026,human_curated
grype:scan:match,security,VMS,high,Vulnerabilities.Vulnerabilities,Anchore,Grype container vuln scan findings,Anchore Grype container scan finding - per-vulnerability match against a container image's SBOM with severity and fix availability.,N,,AI Analysis,5/27/2026,human_curated
grype:scan:summary,security,VMS,med,Vulnerabilities.Vulnerabilities,Anchore,Grype container vuln scan summary,Anchore Grype scan summary - per-image roll-up of vulnerability counts and scan metadata.,N,,AI Analysis,5/27/2026,human_curated
ansible,operational,,med,Change.All_Changes,Ansible,Ansible automation logs,"Ansible automation log - playbook run results, task status, host facts. Operational with Change data model overlap when configuration changes are applied.",N,,AI Analysis,3/25/2026,human_curated
access,security,,med,Web.Web,Apache,Web access logs,Generic web access log sourcetype - default for HTTP servers when no vendor-specific routing exists. Should be re-routed to apache:access / iis / nginx etc. for proper CIM mapping.,N,,AI Analysis,3/25/2026,human_curated
access_combined,security,,med,Web.Web,Apache,Web access logs,NCSA combined log format access log - the classic Apache CombinedLogFormat (with referer and user-agent). Feeds the Web data model.,N,,AI Analysis,3/25/2026,human_curated
access_combined_wcookie,security,,med,Web.Web,Apache,Web access logs,NCSA combined log format extended with a cookie field - a Splunk-prebuilt variant of the Apache combined format including Cookie header. Feeds the Web data model.,N,,AI Analysis,3/25/2026,human_curated
activemq,operational,,low,Change.All_Changes,Apache,Apache ActiveMQ message broker logs,"Apache ActiveMQ message broker log - broker startup, queue/topic activity, connection events. Operational messaging telemetry.",N,,AI Analysis,3/25/2026,human_curated
apache,security,,med,Web.Web,Apache,Apache web server logs,Generic Apache HTTPD log catch-all - typically pre-dates the apache:access/apache:error split. Prefer the specific subtypes for parsed extractions.,N,,AI Analysis,3/25/2026,human_curated
apache:access,security,,med,Web.Web,Apache,Apache access logs,"Apache HTTPD access log (parsed) - per-request method, URI, status, bytes, user-agent, referer, client IP. Primary Web data model source for Apache deployments.",N,,AI Analysis,3/25/2026,human_curated
apache:error,security,,med,Web.Web,Apache,Apache error logs,"Apache HTTPD error log (parsed) - module-level errors, configuration warnings, mod_security alerts, and process failures.",N,,AI Analysis,3/25/2026,human_curated
apache_error,operational,,low,Web.Web,Apache,Apache web server error logs,Underscore-named variant of apache:error - same parsed content; choice depends on add-on version installed.,N,,AI Analysis,3/25/2026,human_curated
error_log,operational,,low,,Apache,Apache error logs,Generic error_log file sourcetype - typically Apache or other web/server error stream when no specific routing exists.,N,,AI Analysis,3/25/2026,human_curated
kafka,operational,,low,Change.All_Changes,Apache,Apache Kafka streaming logs,"Apache Kafka broker log - controller/replica state, leader election, log compaction, ISR shrink/expand messages. Operational platform health source.",N,,AI Analysis,3/25/2026,human_curated
tomcat,security,,med,Web.Web,Apache,Apache Tomcat application server logs,Apache Tomcat application server log - catalina.out and per-app stdout/stderr including stack traces. Feeds the Web data model when access logs are included.,N,,AI Analysis,3/25/2026,human_curated
zookeeper,operational,,low,Change.All_Changes,Apache,Apache ZooKeeper coordination logs,"Apache ZooKeeper coordination service log - quorum elections, session events, znode activity. Operational dependency for Kafka/HBase/etc.",N,,AI Analysis,3/25/2026,human_curated
trivy:scan:finding,security,VMS,high,Vulnerabilities.Vulnerabilities,Aqua Security,Trivy container vuln scan findings,"Aqua Trivy scan finding - per-vulnerability/misconfig/secret/IaC issue in a container image, filesystem, or repo. Feeds Vulnerabilities and Configuration data models.",N,,AI Analysis,5/27/2026,human_curated
trivy:scan:summary,security,VMS,med,Vulnerabilities.Vulnerabilities,Aqua Security,Trivy container vuln scan summary,Aqua Trivy scan summary - per-target roll-up of finding counts by severity and category.,N,,AI Analysis,5/27/2026,human_curated
argocd:audit,security,,med,Change.All_Changes,Argo,Argo CD deployment audit log,"Argo CD audit log - GitOps continuous delivery events: app sync, rollback, RBAC, and CLI invocations.",N,,MDI Reference,4/3/2026,human_curated
aruba:airwave,operational,NAC,low,Network_Traffic.All_Traffic,Aruba,Aruba AirWave WLAN events,"Aruba AirWave WLAN management log - AP, controller, and client events tracked by AirWave. Operational with NAC overlap.",N,,MDI Reference,4/3/2026,human_curated
aruba:clearpass,security,NAC,high,"Authentication.Authentication, Endpoint.Processes",Aruba,Aruba ClearPass NAC logs,"Aruba ClearPass NAC policy decisions - RADIUS/TACACS authentication, posture, and role assignment. Authentication data model contributor.",N,,MDI Reference,4/3/2026,human_curated
asterisk_messages,operational,,low,,Asterisk,Asterisk VoIP system messages,"Asterisk VoIP PBX system message log - call signaling, registration, channel state, and admin activity messages.",N,,AI Analysis,3/25/2026,human_curated
bitbucket,operational,,med,Change.All_Changes,Atlassian,Bitbucket version control logs,"Atlassian Bitbucket access/audit log - repository activity, authentication, admin operations. Feeds Web/Change data models.",N,,AI Analysis,3/25/2026,human_curated
confluence,operational,,low,Change.All_Changes,Atlassian,Confluence wiki logs,"Atlassian Confluence access/audit log - page view/create/update, admin and permission activity.",N,,AI Analysis,3/25/2026,human_curated
jira,operational,,low,Change.All_Changes,Atlassian,Jira issue tracking logs,"Atlassian Jira access/audit log - issue lifecycle, workflow, permission scheme, and admin activity.",N,,AI Analysis,3/25/2026,human_curated
avast,security,EPP,high,Malware.Malware_Operations,Avast,Avast antivirus logs,"Avast endpoint antivirus log - scan results, detected malware, real-time protection events. Feeds the Malware data model.",N,,AI Analysis,3/25/2026,human_curated
aveva:historian,operational,,none,Performance.All_Performance,AVEVA,AVEVA Historian process data,AVEVA Historian (formerly Wonderware) process data tag readings - time-series industrial process variables.,N,,MDI Reference,4/3/2026,human_curated
avg,security,EPP,high,Malware.Malware_Operations,AVG,AVG antivirus logs,AVG endpoint antivirus log - scan and real-time protection detections. Feeds the Malware data model.,N,,AI Analysis,3/25/2026,human_curated
barracuda,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Barracuda,Barracuda firewall logs,"Barracuda CloudGen Firewall and WAF log - traffic, IPS, AV, web application security events.",N,,AI Analysis,3/25/2026,human_curated
beyondtrust:rs:session:cef,security,PAM,high,"Authentication.Authentication, Change.All_Changes, Network_Sessions.All_Sessions",BeyondTrust,BeyondTrust remote support session logs,"BeyondTrust Remote Support session log in CEF format - per-session attendee, target, action, and chat transcript metadata. PAM session-monitoring source.",N,,AI Analysis,3/25/2026,human_curated
bitdefender,security,EPP,high,Malware.Malware_Operations,Bitdefender,Bitdefender antivirus logs,"Bitdefender GravityZone endpoint log - threat detections, scan tasks, HVI events. Feeds the Malware and Endpoint data models.",N,,AI Analysis,3/25/2026,human_curated
remedy:itsm,operational,,none,Ticket_Management.All_Ticket_Management,BMC,BMC Remedy ITSM ticket data,"BMC Remedy ITSM ticket data - incident, change, problem, work-order records from the Remedy AR system.",N,,MDI Reference,4/3/2026,human_curated
box,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Box,Box cloud storage logs,"Box Enterprise event log - file/folder access, sharing, login, admin activity. CASB-grade visibility for the Box platform.",N,,AI Analysis,3/25/2026,human_curated
ipfw,security,FW,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",BSD,BSD IPFW firewall logs,BSD ipfw firewall log - kernel-level packet filter rule hits on FreeBSD/macOS hosts. Feeds Network_Traffic.All_Traffic.,N,,AI Analysis,3/25/2026,human_curated
pf,security,FW,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",BSD,BSD Packet Filter firewall logs,BSD Packet Filter (pf) log - kernel-level firewall log on OpenBSD/FreeBSD/macOS via pflog. Feeds Network_Traffic.All_Traffic.,N,,AI Analysis,3/25/2026,human_curated
checkpoint,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Check Point,Check Point firewall logs,"Check Point Quantum Security Gateway log - traffic, IPS, antivirus, anti-bot, threat extraction events delivered via OPSEC LEA or syslog/CEF.",N,,AI Analysis,3/25/2026,human_curated
chef,operational,,med,Change.All_Changes,Chef,Chef configuration management logs,"Chef configuration management log - cookbook converge results, resource success/failure on managed nodes. Operational/Change.",N,,AI Analysis,3/25/2026,human_curated
cherwell:incident,operational,,none,Ticket_Management.All_Ticket_Management,Cherwell,Cherwell Service Management,Cherwell (now Ivanti Neurons) Service Management incident records - ticket lifecycle and assignment activity.,N,,MDI Reference,4/3/2026,human_curated
